timestamp,cpu usage [%],memory used [GB],memory avail [GB],disk used [GB],disk avail [GB]
16:03:36,10.0,13.563751220703125,31.74490737915039,245.39439010620117,931.4960899353027
16:17,34.4,14.037773132324219,31.74490737915039,245.39439010620117,931.4960899353027
16:18,18.8,14.017513275146484,31.74490737915039,245.39439010620117,931.4960899353027
16:19,36.9,14.09878921508789,31.74490737915039,245.39439010620117,931.4960899353027
16:20,29.7,14.023582458496094,31.74490737915039,245.39439010620117,931.4960899353027
16:21,28.8,14.044990539550781,31.74490737915039,245.39439010620117,931.4960899353027
16:22,24.7,14.038028717041016,31.74490737915039,245.39439010620117,931.4960899353027
16:23,22.3,14.001903533935547,31.74490737915039,245.3944549560547,931.4960899353027
16:26,21.7,14.07,31.74,245.39,931.50
16:27,17.5,14.03,31.74,245.39,931.50
16:28,12.3,14.07,31.74,245.39,931.50
16:29,21.2,14.33,31.74,245.39,931.50
16:30,23.1,14.23,31.74,245.39,931.50
16:31,24.1,14.30,31.74,245.39,931.50
16:32,13.5,14.38,31.74,245.39,931.50
16:33,31.7,14.35,31.74,245.39,931.50
16:34,7.4,14.36,31.74,245.39,931.50
16:35,16.8,14.46,31.74,245.39,931.50
16:36,6.4,14.51,31.74,245.39,931.50
16:37,22.1,14.67,31.74,245.39,931.50
16:38,12.0,14.61,31.74,245.39,931.50
16:39,13.2,14.59,31.74,245.39,931.50
16:40,35.3,14.65,31.74,245.39,931.50
16:41,24.3,14.70,31.74,245.39,931.50
16:42,15.3,14.76,31.74,245.39,931.50
16:43,7.2,14.90,31.74,245.39,931.50
16:44,31.7,14.80,31.74,245.39,931.50
16:45,41.4,14.90,31.74,245.39,931.50
16:46,11.6,15.04,31.74,245.39,931.50
16:47,11.0,15.10,31.74,245.39,931.50
16:48,10.3,15.01,31.74,245.39,931.50
16:49,11.8,14.97,31.74,245.39,931.50
16:50,43.2,15.07,31.74,245.39,931.50
16:51,15.1,15.21,31.74,245.39,931.50
16:52,5.4,15.09,31.74,245.39,931.50
16:53,16.3,15.18,31.74,245.40,931.50
16:54,7.6,15.12,31.74,245.40,931.50
16:55,10.4,15.07,31.74,245.40,931.50
16:56,43.4,15.13,31.74,245.40,931.50
16:57,15.3,15.33,31.74,245.40,931.50
16:58,11.1,15.54,31.74,245.40,931.50
16:59,5.3,15.33,31.74,245.40,931.50
17:00,30.4,15.41,31.74,245.40,931.50
17:01,16.4,15.31,31.74,245.40,931.50
17:02,7.9,15.43,31.74,245.40,931.50
17:03,20.9,15.36,31.74,245.40,931.50
17:04,15.3,15.32,31.74,245.40,931.50
17:05,8.6,15.44,31.74,245.40,931.50
17:06,15.6,15.30,31.74,245.40,931.50
17:07,19.8,15.27,31.74,245.40,931.50
17:08,31.8,15.27,31.74,245.40,931.50
17:09,14.1,15.32,31.74,245.40,931.50
17:10,18.2,15.43,31.74,245.40,931.50
17:11,99.6,15.70,31.74,245.40,931.50
17:12,55.3,15.64,31.74,245.40,931.50
17:13,56.9,15.81,31.74,245.40,931.50
17:14,42.3,17.10,31.74,245.40,931.50
17:15,31.9,16.51,31.74,245.40,931.50
17:16,39.7,16.52,31.74,245.40,931.50
17:18,49.8,16.57,31.74,245.40,931.50
17:19,57.2,16.62,31.74,245.40,931.50
17:20,28.2,15.11,31.74,245.40,931.50
17:21,67.8,15.07,31.74,245.40,931.50
17:22,37.8,15.08,31.74,245.40,931.50
17:23,88.3,14.86,31.74,245.40,931.50
17:24,30.9,14.57,31.74,245.40,931.50
17:25,36.5,14.63,31.74,245.40,931.50
17:26,13.5,14.57,31.74,245.40,931.50
17:27,41.8,14.63,31.74,245.40,931.50
17:28,34.6,14.69,31.74,245.40,931.50
17:29,7.1,14.67,31.74,245.40,931.50
22:20,100.0,16.31,31.74,245.40,931.50
